Port,Pays,Trafic conteneurs (M EVP),Note
Durban,Afrique du Sud,2.70,
Lomé,Togo,1.91,
Tema,Ghana,1.90,
Mombasa,Kenya,1.40,
Abidjan,Côte d'Ivoire,1.23,
Pointe-Noire,Congo,1.0,"approximatif (≈1,0 M)"
Kribi,Cameroun,0.555,
Douala,Cameroun,0.348,
