Centrale,Type,Puissance (MW),Mise en service
Nachtigal,Hydroélectrique,420,2024–2025
Song Loulou,Hydroélectrique,384,1981–1989
Édéa,Hydroélectrique,263,1954–1958
Kribi Power,Thermique (gaz),216,2013
Memve'ele,Hydroélectrique,211,2018
Lagdo,Hydroélectrique,72,1984
Lom Pangar,Centrale de pied,30,2020
Mekin,Hydroélectrique,15,2018
